Proteins	Gonames	Goterms	Probability
4FEZ-A	UTP biosynthetic process	GO:0006228	0.0160
4FEZ-A	purine nucleoside diphosphate metabolic process	GO:0009135	0.2518
4FEZ-A	positive regulation of immune effector process	GO:0002699	0.0000
4FEZ-A	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0000463	0.0001
4FEZ-A	purine ribonucleoside diphosphate metabolic process	GO:0009179	0.3002
4FEZ-A	B cell differentiation	GO:0030183	0.0000
4FEZ-A	response to lipopolysaccharide	GO:0032496	0.0000
4FEZ-A	positive regulation of nucleobase-containing compound metabolic process	GO:0045935	0.0024
4FEZ-A	DNA modification	GO:0006304	0.0006
4FEZ-A	pyrimidine-containing compound biosynthetic process	GO:0072528	0.2720
4FEZ-A	regulation of cysteine-type endopeptidase activity	GO:2000116	0.0000
4FEZ-A	protein peptidyl-prolyl isomerization	GO:0000413	0.0005
4FEZ-A	regulation of signal transduction	GO:0009966	0.0005
4FEZ-A	regeneration	GO:0031099	0.0000
4FEZ-A	regulation of animal organ morphogenesis	GO:2000027	0.0000
4FEZ-A	cellular modified amino acid metabolic process	GO:0006575	0.0540
4FEZ-A	protein kinase B signaling	GO:0043491	0.0000
4FEZ-A	regulation of cell cycle	GO:0051726	0.0003
4FEZ-A	organic hydroxy compound metabolic process	GO:1901615	0.0521
4FEZ-A	neutrophil chemotaxis	GO:0030593	0.0000
4FEZ-A	negative regulation of protein-containing complex disassembly	GO:0043242	0.0000
4FEZ-A	animal organ development	GO:0048513	0.0011
4FEZ-A	regulation of transmembrane transporter activity	GO:0022898	0.0001
4FEZ-A	response to oxidative stress	GO:0006979	0.0063
4FEZ-A	positive regulation of response to biotic stimulus	GO:0002833	0.0000
4FEZ-A	negative regulation of translation	GO:0017148	0.0012
4FEZ-A	regulation of leukocyte differentiation	GO:1902105	0.0000
4FEZ-A	negative regulation of cell migration	GO:0030336	0.0000
4FEZ-A	establishment of RNA localization	GO:0051236	0.0000
4FEZ-A	inositol lipid-mediated signaling	GO:0048017	0.0000
4FEZ-A	localization of cell	GO:0051674	0.0023
4FEZ-A	calcium ion transport	GO:0006816	0.0000
4FEZ-A	tryptophan biosynthetic process	GO:0000162	0.0651
4FEZ-A	organic substance transport	GO:0071702	0.0092
4FEZ-A	positive regulation of nitrogen compound metabolic process	GO:0051173	0.0035
4FEZ-A	intracellular transport	GO:0046907	0.0025
4FEZ-A	protein localization to mitochondrion	GO:0070585	0.0000
4FEZ-A	positive regulation of immune response	GO:0050778	0.0001
4FEZ-A	purine nucleotide metabolic process	GO:0006163	0.6644
4FEZ-A	regulation of translational fidelity	GO:0006450	0.0242
4FEZ-A	meiotic cell cycle	GO:0051321	0.0000
4FEZ-A	positive regulation of cytokine production	GO:0001819	0.0000
4FEZ-A	cobalamin metabolic process	GO:0009235	0.0196
4FEZ-A	glycerophospholipid metabolic process	GO:0006650	0.0036
4FEZ-A	positive regulation of cellular process	GO:0048522	0.0117
4FEZ-A	metal ion transport	GO:0030001	0.0049
4FEZ-A	tRNA processing	GO:0008033	0.0358
4FEZ-A	regulation of transcription, DNA-templated	GO:0006355	0.0080
4FEZ-A	nucleoside monophosphate phosphorylation	GO:0046940	0.0197
4FEZ-A	regulation of leukocyte activation	GO:0002694	0.0000
4FEZ-A	regulation of cellular biosynthetic process	GO:0031326	0.0150
4FEZ-A	nucleoside triphosphate biosynthetic process	GO:0009142	0.2826
4FEZ-A	defense response to Gram-negative bacterium	GO:0050829	0.0000
4FEZ-A	pyrimidine deoxyribonucleoside triphosphate metabolic process	GO:0009211	0.0136
4FEZ-A	receptor metabolic process	GO:0043112	0.0000
4FEZ-A	positive regulation of metabolic process	GO:0009893	0.0044
4FEZ-A	negative regulation of endopeptidase activity	GO:0010951	0.0000
4FEZ-A	proteolysis	GO:0006508	0.1280
